1	22	365	1
1	22	214	1
1	22	194	1
1	22	378	1
1	22	282	1
1	22	280	1
1	22	229	1
1	22	155	3
1	22	231	1
1	22	250	1
1	22	183	1
1	22	210	1
1	22	224	1
1	22	203	1
1	22	320	1
1	22	202	1
1	22	394	1
1	22	164	1
1	22	191	1
1	22	178	1
1	22	209	1
1	22	414	1
1	22	183	1
1	22	186	1
1	22	132	1
1	22	171	1
1	22	208	1
1	22	181	1
1	22	185	1
1	22	265	1
1	22	177	1
1	22	178	1
1	22	299	1
1	22	328	1
1	22	151	1
1	22	124	3
1	22	122	3
1	22	175	1
1	22	175	1
1	22	126	3
1	22	157	1
1	22	170	1
1	22	151	1
1	22	195	1
1	22	153	1
1	22	151	1
1	22	179	1
1	22	162	1
1	22	167	1
1	22	193	1
1	22	147	1
1	22	143	1
1	22	176	1
1	22	168	1
1	22	185	1
1	22	185	1
1	22	147	3
1	22	225	1
1	22	186	1
1	22	178	1
1	22	159	1
1	22	152	1
1	22	167	1
1	22	182	1
1	22	186	1
1	22	119	3
1	22	203	1
1	22	220	1
1	22	213	1
1	22	277	1
1	22	209	1
1	22	157	1
1	22	146	1
1	22	194	1
1	22	69	1
1	22	198	1
1	22	174	1
1	22	192	1
1	22	176	1
1	22	164	1
1	22	190	1
1	22	202	1
1	22	185	1
1	22	182	1
1	22	158	1
1	22	166	1
1	22	172	1
1	22	189	1
1	22	192	1
1	22	190	1
1	22	189	1
1	22	181	1
1	22	178	1
1	22	214	1
1	22	159	3
1	22	175	1
1	22	74	3
1	22	175	1
1	22	295	1
1	22	166	1
1	22	171	1
1	22	140	3
1	22	127	1
1	22	153	1
1	22	151	1
1	22	147	1
1	22	175	1
1	22	163	1
1	22	173	1
1	22	175	1
1	22	199	1
1	22	187	1
1	22	160	3
1	22	186	1
1	22	321	1
1	22	195	1
1	22	146	1
1	22	196	1
1	22	140	1
1	22	198	1
1	22	165	1
1	22	154	1
1	22	209	1
1	22	183	1
1	22	165	1
1	22	170	1
1	22	163	1
1	22	172	1
1	22	157	1
1	22	180	1
1	22	149	1
1	22	189	1
1	22	114	1
1	22	177	1
1	22	156	3
1	22	139	1
1	22	132	1
1	22	177	1
1	22	192	1
1	22	160	3
1	22	145	1
1	22	191	1
1	22	153	1
1	22	118	1
1	22	185	1
1	22	181	1
1	22	203	1
1	22	178	1
1	22	155	1
1	22	164	1
1	22	212	1
1	22	108	1
1	22	134	1
1	22	188	1
1	22	190	1
1	22	169	1
1	22	129	1
1	22	188	1
1	22	141	1
1	22	114	3
1	22	176	1
1	22	160	1
1	22	130	1
1	22	161	1
1	22	179	1
1	22	161	1
1	22	135	1
1	22	172	1
1	22	173	1
1	22	155	1
1	22	135	1
1	22	151	1
1	22	184	1
1	22	167	1
1	22	184	1
1	22	190	1
1	22	133	1
1	22	131	1
1	22	167	1
1	22	130	1
1	22	114	1
1	22	183	1
1	22	143	1
1	22	68	3
1	22	196	1
1	22	184	1
1	22	175	1
1	22	175	1
1	22	166	1
1	22	172	1
1	22	141	1
1	22	200	1
1	22	167	1
1	22	166	1
1	22	143	1
1	22	165	1
1	22	163	1
1	22	180	1
1	22	186	1
1	22	169	1
1	22	171	1
1	22	137	3
1	22	161	1
1	22	161	1
1	22	181	1
1	22	123	1
1	22	177	1
1	22	191	1
1	22	165	1
1	24	352	1
1	24	277	1
1	24	323	1
1	24	286	1
1	24	278	1
1	24	205	1
1	24	419	1
1	24	256	1
1	24	250	1
1	24	269	1
1	24	262	1
1	24	228	1
1	24	280	1
1	24	334	1
1	24	317	1
1	24	291	1
1	24	249	1
1	24	254	1
1	24	399	1
1	24	219	1
1	24	257	1
1	24	321	1
1	24	270	1
1	24	195	1
1	24	268	1
1	24	429	1
1	24	269	1
1	24	225	1
1	24	224	1
1	24	227	1
1	24	195	1
1	24	188	1
1	24	225	1
1	24	203	1
1	24	166	1
1	24	205	1
1	24	157	3
1	24	184	1
1	24	178	1
1	24	173	1
1	24	294	1
1	24	236	1
1	24	209	1
1	24	257	1
1	24	222	1
1	24	209	1
1	24	158	1
1	24	196	1
1	24	165	1
1	24	204	1
1	24	215	1
1	24	193	1
1	24	143	3
1	24	143	1
